股票代码,股票名称,信号日期,收盘价,MACD评分,成交量比率,MA60距离%,评级,补充特征分,MACD满足,成交量满足,MA60满足,未来5日涨幅%,未来涨幅满足
sh.688615,合合信息,2025-07-22,164.6,65,2.2,-4.81,B级,20,True,True,True,13.37,True
sh.688615,合合信息,2025-07-24,178.68,65,2.04,-0.69,A级,35,True,True,True,9.21,True
sh.688615,合合信息,2025-10-10,162.29,60,2.54,-2.26,A级,35,True,True,True,10.04,True
sz.002920,德赛西威,2025-12-16,114.79,65,2.61,-2.33,A级,45,True,True,True,14.89,True
sz.002920,德赛西威,2025-12-17,119.3,80,2.81,-0.76,A级,35,True,True,True,10.54,True
sz.002920,德赛西威,2025-12-18,116.88,80,3.15,-0.88,A级,35,True,True,True,12.83,True
sh.603716,塞力医疗,2025-12-23,21.62,65,3.18,-4.9,B级,25,True,True,True,4.07,True
sh.688625,呈和科技,2025-07-16,29.78,65,2.02,-23.82,B级,20,True,True,True,7.79,True
sh.688625,呈和科技,2025-07-21,31.33,80,2.0,-17.52,A级,45,True,True,True,3.1,True
sh.688625,呈和科技,2025-07-22,31.6,80,2.14,-17.45,A级,45,True,True,True,2.22,True
sz.301575,艾芬达,2025-12-11,50.06,80,2.28,-6.28,A级,35,True,True,True,7.03,True
sz.301575,艾芬达,2025-12-12,50.05,80,2.64,-7.15,A级,35,True,True,True,7.05,True
sz.003040,楚天龙,2025-04-24,12.81,65,2.61,-0.82,B级,20,True,True,True,3.28,True
sz.003040,楚天龙,2025-12-16,18.92,60,2.26,-2.81,A级,45,True,True,True,6.55,True
sz.003040,楚天龙,2025-12-23,18.92,60,3.73,-0.77,A级,30,True,True,True,10.99,True
sz.003040,楚天龙,2025-12-24,19.15,80,3.89,-1.93,A级,30,True,True,True,9.66,True
sh.600992,贵绳股份,2025-06-16,13.74,60,2.22,0.41,A级,30,True,True,True,18.63,True
sh.600119,长江投资,2025-04-14,7.52,80,2.47,-3.44,A级,35,True,True,True,3.06,True
sh.600119,长江投资,2025-04-15,7.41,80,2.86,-3.24,A级,35,True,True,True,8.1,True
sh.600119,长江投资,2025-04-24,7.63,65,3.14,0.1,A级,35,True,True,True,6.82,True
sh.605368,蓝天燃气,2026-01-21,8.33,80,2.06,-3.31,C级,10,True,True,True,6.24,True
sz.000983,山西焦煤,2025-06-05,6.25,60,2.15,-3.22,A级,30,True,True,True,4.96,True
sz.000735,罗牛山,2025-06-06,6.09,80,2.97,0.06,B级,20,True,True,True,4.27,True
sz.000735,罗牛山,2025-06-09,5.89,80,4.14,-3.18,B级,20,True,True,True,7.81,True
sz.000735,罗牛山,2025-06-10,5.91,80,4.88,-3.03,B级,20,True,True,True,7.45,True
sz.000735,罗牛山,2025-06-11,5.94,80,2.29,-2.26,C级,10,True,True,True,6.9,True
sz.002575,群兴玩具,2025-11-26,6.82,60,2.45,-2.81,A级,35,True,True,True,5.87,True
sz.002575,群兴玩具,2025-11-27,6.56,80,3.05,-7.84,A级,35,True,True,True,14.48,True
sz.002575,群兴玩具,2025-11-28,6.66,80,3.5,-6.06,A级,35,True,True,True,12.76,True
sz.002575,群兴玩具,2025-12-01,6.87,80,2.31,-0.25,A级,35,True,True,True,9.32,True
sz.002575,群兴玩具,2025-12-02,6.74,65,2.0,-5.58,A级,35,True,True,True,14.99,True
sh.688186,广大特材,2025-10-15,25.44,65,2.89,-0.66,C级,10,True,True,True,5.19,True
sh.688186,广大特材,2025-12-12,23.35,80,2.02,-2.62,A级,50,True,True,True,3.0,True
sh.688186,广大特材,2025-12-16,22.51,65,3.48,-5.03,A级,35,True,True,True,4.09,True
sh.688186,广大特材,2025-12-17,22.6,65,2.02,-7.09,B级,25,True,True,True,3.67,True
sz.002982,湘佳股份,2025-07-24,16.12,80,2.13,-5.54,A级,35,True,True,True,3.35,True
sh.603809,豪能股份,2025-05-14,15.16,65,2.06,-2.82,B级,25,True,True,True,7.52,True
sh.603567,珍宝岛,2025-10-13,11.86,60,2.09,0.19,B级,20,True,True,True,3.29,True
sh.603567,珍宝岛,2026-01-13,9.52,80,2.02,-6.98,A级,35,True,True,True,4.52,True
sz.300632,光莆股份,2025-05-26,12.08,65,3.32,-3.94,B级,20,True,True,True,4.3,True
sz.300218,安利股份,2025-05-19,14.95,65,2.08,-0.45,C级,10,True,True,True,5.28,True
sz.300218,安利股份,2026-01-06,16.49,80,2.17,-0.89,B级,20,True,True,True,3.03,True
sz.300577,开润股份,2025-04-18,19.4,65,2.84,-11.05,B级,25,True,True,True,4.64,True
sz.300577,开润股份,2026-01-20,21.89,60,2.76,-2.79,A级,30,True,True,True,4.02,True
sh.603988,中电电机,2025-08-25,23.97,60,2.34,-1.89,A级,30,True,True,True,2.21,True
sh.688449,联芸科技,2025-06-19,39.91,80,2.32,-0.76,A级,45,True,True,True,3.98,True
sh.688449,联芸科技,2025-06-20,39.46,65,2.02,-1.59,A级,45,True,True,True,5.85,True
sz.002915,中欣氟材,2025-12-25,23.6,80,2.2,-2.39,A级,30,True,True,True,10.04,True
sz.002915,中欣氟材,2025-12-29,23.71,80,2.16,-0.91,A级,30,True,True,True,9.53,True
sz.001256,炜冈科技,2025-07-11,21.76,80,2.04,-0.78,A级,45,True,True,True,4.69,True
sz.001256,炜冈科技,2025-07-14,22.18,80,2.2,-0.83,A级,50,True,True,True,2.71,True
sz.001256,炜冈科技,2025-10-28,22.79,80,2.32,0.2,A级,30,True,True,True,4.56,True
sz.002094,青岛金王,2025-10-28,8.16,80,2.09,-0.13,A级,30,True,True,True,7.48,True
sz.002094,青岛金王,2025-10-29,8.14,80,2.18,-0.68,A级,30,True,True,True,7.74,True
sz.002094,青岛金王,2025-12-29,7.33,80,2.07,-2.5,A级,60,True,True,True,11.73,True
sz.000567,海德股份,2025-04-16,5.77,80,2.41,-3.99,A级,35,True,True,True,3.64,True
sz.000567,海德股份,2025-04-17,5.74,80,2.08,-4.67,C级,10,True,True,True,4.18,True
sz.002869,金溢科技,2025-12-16,23.29,60,2.31,-9.86,A级,40,True,True,True,8.24,True
sz.002869,金溢科技,2025-12-17,22.87,80,3.23,-11.38,C级,10,True,True,True,10.23,True
sz.002869,金溢科技,2025-12-18,22.99,80,3.71,-12.38,B级,25,True,True,True,9.66,True
sz.002869,金溢科技,2025-12-19,24.08,80,2.78,-5.51,A级,35,True,True,True,4.69,True
sz.002869,金溢科技,2025-12-23,23.72,65,2.47,-5.14,B级,20,True,True,True,3.92,True
sh.688620,安凯微,2025-05-27,12.22,60,2.95,-0.04,A级,35,True,True,True,3.52,True
sh.688620,安凯微,2025-05-28,12.1,60,3.41,-2.18,A级,35,True,True,True,2.23,True
sh.600793,宜宾纸业,2025-04-09,17.24,60,3.83,-3.7,A级,35,True,True,True,9.11,True
sh.600793,宜宾纸业,2025-04-10,17.35,60,3.05,-2.71,A级,35,True,True,True,8.41,True
sh.600793,宜宾纸业,2025-04-15,17.38,65,2.14,-0.98,A级,35,True,True,True,21.06,True
sh.600793,宜宾纸业,2025-10-14,24.06,80,2.33,-1.01,A级,35,True,True,True,3.28,True
sh.600807,济高发展,2025-05-07,2.72,60,2.12,-3.08,A级,35,True,True,True,5.88,True
sh.688205,德科立,2025-05-06,64.09,80,2.33,-8.18,B级,25,True,True,True,9.22,True
sh.688205,德科立,2025-05-07,63.28,80,2.62,-6.76,B级,25,True,True,True,12.09,True
sh.603319,美湖股份,2025-07-22,28.03,80,2.21,-15.07,B级,25,True,True,True,3.35,True
sh.603319,美湖股份,2025-07-23,27.62,80,2.23,-16.48,B级,25,True,True,True,4.89,True
sz.000534,万泽股份,2025-06-27,14.42,80,2.14,-0.04,B级,20,True,True,True,6.73,True
sh.688543,国科军工,2025-06-17,47.59,80,2.22,-7.71,B级,25,True,True,True,9.6,True
sh.688543,国科军工,2025-06-20,49.94,80,2.44,-1.46,A级,35,True,True,True,13.56,True
sh.603997,继峰股份,2025-08-19,12.39,60,3.37,-0.07,A级,60,True,True,True,3.95,True
sh.603997,继峰股份,2025-08-20,12.33,60,2.54,-0.6,A级,35,True,True,True,4.46,True
